Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C4, C5, C7, C8",0603,8,10u,C19702
"C12, C3, C6, C9",0603,4,220n,
"D1, D3, D5, D7",0603,4,LED,C965807
"D2, D4, D6, D8",0603,4,LED,C965799
J1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,Screw_Terminal_01x02,C8465
J2,4xCellHolder_18650,1,CellHolder_4x18650_Parallel,
"R1, R11, R14, R16, R19, R4, R6, R9",0603,8,1k,C22548
"R10, R15, R20, R5",0603,4,120k,C114607
"R12, R17, R2, R7",0603,4,5.6k,C114627
"R13, R18, R3, R8",0603,4,1R,C112305
"TH1, TH2, TH3, TH4",0603,4,10k,C13564
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_4.0x4.0mm,8,TestPoint,
"U1, U2, U3, U4",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,4,TP4056-42-ESOP8,
